+-----------------------------+-------------------------------------------+----------+----------+----------+----------+----------+----------+
| Package Name                | File Name                                 | Type     | Blank    | JavaDoc  | Comment  | Code     | Total    |
| projecthub.report.burndown  | BurndownTest.java                         | src      |        9 |        0 |       16 |       52 |       77 |
| projecthub.report.burndown  | DayWork.java                              | src      |       11 |        0 |       17 |       41 |       69 |
| projecthub.report.burndown  | RenderDao.java                            | src      |        5 |        0 |       20 |       34 |       59 |
+-----------------------------+-------------------------------------------+----------+----------+----------+----------+----------+----------+
| projecthub.report.calendar  | CalendarChart.java                        | src      |        9 |        0 |       16 |       24 |       49 |
| projecthub.report.calendar  | CalendarRenderer.java                     | src      |       60 |        6 |       57 |      269 |      392 |
| projecthub.report.calendar  | CalendarTest.java                         | src      |        7 |        4 |       16 |       51 |       78 |
| projecthub.report.calendar  | CalendarUtil.java                         | src      |       11 |        0 |       36 |       53 |      100 |
+-----------------------------+-------------------------------------------+----------+----------+----------+----------+----------+----------+
| projecthub.report.dao       | AuthorContribution.java                   | src      |       11 |        0 |       16 |       32 |       59 |
| projecthub.report.dao       | AuthorsContribution.java                  | src      |       13 |        0 |       22 |       35 |       70 |
| projecthub.report.dao       | BurnDownGraphicsTheme.java                | src      |        6 |        0 |       16 |       30 |       52 |
| projecthub.report.dao       | BurnDownGuide.java                        | src      |       16 |        6 |       10 |       65 |       97 |
| projecthub.report.dao       | CalendarElement.java                      | src      |       12 |        0 |       16 |       38 |       66 |
| projecthub.report.dao       | CalendarMilestoneElement.java             | src      |        4 |        0 |       16 |       20 |       40 |
| projecthub.report.dao       | CalendarXAxes.java                        | src      |       32 |        7 |       79 |      340 |      458 |
| projecthub.report.dao       | CaptionElement.java                       | src      |       10 |        0 |       20 |       43 |       73 |
| projecthub.report.dao       | Conflict.java                             | src      |        4 |        0 |       16 |       14 |       34 |
| projecthub.report.dao       | ConflictingTasks.java                     | src      |        6 |        0 |       16 |       20 |       42 |
| projecthub.report.dao       | ETheme.java                               | src      |        2 |        0 |       16 |        5 |       23 |
| projecthub.report.dao       | FooterElement.java                        | src      |        8 |        0 |       19 |       38 |       65 |
| projecthub.report.dao       | GraphColorUtil.java                       | src      |       11 |        0 |       43 |       64 |      118 |
| projecthub.report.dao       | GraphSquare.java                          | src      |        9 |        0 |       16 |       34 |       59 |
| projecthub.report.dao       | GraphicsLightTheme.java                   | src      |       30 |        0 |       46 |      127 |      203 |
| projecthub.report.dao       | GraphicsTheme.java                        | src      |        4 |        0 |       17 |       45 |       66 |
| projecthub.report.dao       | MetaData.java                             | src      |        6 |        0 |       16 |       15 |       37 |
| projecthub.report.dao       | Milestone.java                            | src      |        8 |        0 |       16 |       39 |       63 |
| projecthub.report.dao       | Milestones.java                           | src      |       16 |        0 |       17 |       82 |      115 |
| projecthub.report.dao       | Range.java                                | src      |        5 |        0 |       16 |       10 |       31 |
